,win_per
248,70.73170731707317
42,43.90243902439025
59,57.3170731707317
83,29.268292682926827
199,37.80487804878049
131,70.73170731707317
174,42.68292682926829
136,68.29268292682927
244,65.85365853658537
148,69.51219512195121
1,52.4390243902439
193,24.390243902439025
113,25.609756097560975
249,18.29268292682927
242,50.0
179,52.4390243902439
87,52.4390243902439
16,68.29268292682927
14,19.51219512195122
278,64.63414634146342
75,31.70731707317073
217,67.07317073170732
101,58.536585365853654
11,35.36585365853659
180,58.536585365853654
67,50.0
143,47.5609756097561
194,73.17073170731707
281,60.97560975609756
76,58.536585365853654
81,62.19512195121951
260,76.82926829268293
224,20.73170731707317
82,39.02439024390244
156,68.29268292682927
158,67.07317073170732
173,62.19512195121951
74,35.36585365853659
224,42.42424242424242
200,68.29268292682927
218,46.96969696969697
209,65.85365853658537
145,67.07317073170732
273,48.78048780487805
130,45.1219512195122
246,28.04878048780488
250,63.41463414634146
253,51.21951219512195
258,63.41463414634146
210,34.84848484848485
284,64.63414634146342
24,45.1219512195122
168,48.78048780487805
148,68.29268292682927
206,40.243902439024396
74,71.95121951219512
14,51.21951219512195
88,67.07317073170732
225,36.58536585365854
77,62.19512195121951
138,34.146341463414636
271,32.926829268292686
34,63.41463414634146
49,17.073170731707318
92,42.68292682926829
144,25.609756097560975
25,56.09756097560976
182,65.85365853658537
232,62.121212121212125
73,59.756097560975604
201,53.65853658536586
86,47.5609756097561
57,26.82926829268293
245,36.58536585365854
44,30.48780487804878
92,39.02439024390244
78,18.29268292682927
52,68.29268292682927
146,60.97560975609756
99,34.146341463414636
117,32.926829268292686
200,68.29268292682927
264,56.09756097560976
138,36.58536585365854
276,56.09756097560976
223,71.21212121212122
220,60.60606060606061
67,45.1219512195122
109,35.36585365853659
45,24.390243902439025
12,47.5609756097561
16,64.63414634146342
291,60.97560975609756
132,15.853658536585366
89,41.46341463414634
4,50.0
240,57.3170731707317
142,73.17073170731707
111,47.5609756097561
243,23.170731707317074
66,51.21951219512195
80,78.04878048780488
286,31.70731707317073
10,60.97560975609756
222,56.060606060606055
107,48.78048780487805
295,45.1219512195122
186,60.49382716049383
116,51.21951219512195
122,20.73170731707317
61,35.36585365853659
165,65.85365853658537
262,74.39024390243902
141,43.90243902439025
112,31.70731707317073
277,57.3170731707317
135,40.243902439024396
9,73.17073170731707
253,58.536585365853654
110,53.65853658536586
122,57.3170731707317
155,57.3170731707317
9,62.19512195121951
149,50.0
196,52.4390243902439
12,45.1219512195122
251,31.70731707317073
214,24.390243902439025
183,59.756097560975604
250,28.04878048780488
256,20.73170731707317
109,71.95121951219512
129,67.07317073170732
102,58.536585365853654
17,54.87804878048781
289,65.85365853658537
76,50.0
119,36.58536585365854
237,31.818181818181817
114,20.73170731707317
95,69.51219512195121
43,36.58536585365854
170,69.51219512195121
226,57.57575757575758
94,12.195121951219512
214,31.818181818181817
38,32.926829268292686
36,58.536585365853654
180,41.46341463414634
176,60.97560975609756
198,37.80487804878049
205,52.4390243902439
215,63.63636363636363
97,51.21951219512195
212,54.54545454545454
131,73.17073170731707
65,87.8048780487805
163,75.60975609756098
185,29.268292682926827
13,39.02439024390244
0,70.73170731707317
178,46.34146341463415
50,25.609756097560975
191,69.51219512195121
68,50.0
270,47.5609756097561
17,60.97560975609756
30,71.95121951219512
228,64.63414634146342
273,39.02439024390244
140,29.268292682926827
192,35.36585365853659
274,32.926829268292686
172,58.536585365853654
6,37.80487804878049
72,25.609756097560975
238,10.606060606060606
283,64.63414634146342
181,50.617283950617285
63,24.390243902439025
106,50.0
181,37.80487804878049
2,20.73170731707317
39,68.29268292682927
20,23.170731707317074
134,76.82926829268293
49,57.3170731707317
135,54.87804878048781
4,62.19512195121951
141,68.29268292682927
118,60.97560975609756
89,36.58536585365854
86,40.243902439024396
93,25.609756097560975
210,67.07317073170732
19,24.390243902439025
228,34.84848484848485
280,71.95121951219512
229,67.07317073170732
53,25.609756097560975
53,48.78048780487805
79,37.80487804878049
223,54.87804878048781
